canonical_feature,domain,kind,unit,source_column,resolution_status,resolution_score,top_candidates,rationale
robust_scatter,scatter_amplitude,continuous,relative_flux,flux_robust_scale,exact,100.0,"[{""column"": ""flux_robust_scale"", ""score"": 100.0}]",Robust amplitude of stellar-background variability; preferred over ordinary standard deviation when isolated excursions exist.
skewness,distribution_shape,continuous,dimensionless,flux_skewness,exact,100.0,"[{""column"": ""flux_skewness"", ""score"": 100.0}]",Asymmetry of the flux distribution.
outlier_fraction,distribution_shape,continuous,fraction,flux_outlier_fraction,exact,100.0,"[{""column"": ""flux_outlier_fraction"", ""score"": 100.0}]",Robust tail/impulsive-variability measure. Raw excess kurtosis is retained as an audit diagnostic rather than a canonical router feature.
acf_lag1,autocorrelation_memory,continuous,correlation,v2_acf_lag_1,exact,100.0,"[{""column"": ""v2_acf_lag_1"", ""score"": 100.0}]",Short-lag correlation strength of the stellar background.
acf_timescale_days,autocorrelation_memory,continuous,days,v2_acf_decay_e_days,exact,100.0,"[{""column"": ""v2_acf_decay_e_days"", ""score"": 100.0}]",Persistence timescale of correlated variability; distinct from one-cadence ACF strength.
stationarity_state,stationarity,categorical,category,original_series_stationarity_conclusion,exact,100.0,"[{""column"": ""original_series_stationarity_conclusion"", ""score"": 100.0}]",Joint interpretation of ADF/KPSS evidence; raw ADF/KPSS statistics and p-values remain supporting diagnostics.
spectral_concentration,spectral_structure,continuous,fraction,v2_spectral_concentration,exact,100.0,"[{""column"": ""v2_spectral_concentration"", ""score"": 100.0}]",Degree to which spectral power is concentrated rather than broadly distributed across frequencies.
harmonic_power_ratio,spectral_structure,continuous,ratio,v2_spectral_harmonic_power_ratio,exact,100.0,"[{""column"": ""v2_spectral_harmonic_power_ratio"", ""score"": 100.0}]",Strength of harmonically related spectral structure.
dominant_period_days,periodicity_coherence,continuous,days,v2_ls_dominant_period_days,exact,100.0,"[{""column"": ""v2_ls_dominant_period_days"", ""score"": 100.0}]",Final v2 Lomb-Scargle dominant timescale. Legacy dominant_period_days is intentionally lower priority.
period_agreement_error,periodicity_coherence,continuous,relative_error,v2_ls_acf_period_relative_error,exact,100.0,"[{""column"": ""v2_ls_acf_period_relative_error"", ""score"": 100.0}]",Harmonic-aware disagreement between LS and ACF timescales; lower values imply stronger independent support for the same periodic structure.
segment_scale_variability,variance_evolution,continuous,dimensionless,v2_segment_scale_relative_mad,exact,100.0,"[{""column"": ""v2_segment_scale_relative_mad"", ""score"": 100.0}]","Robust segment-to-segment variability of the local flux scale, capturing amplitude/variance nonstationarity across the quarter without implying a monotonic drift."
